param_max_depth,param_min_samples_split,mean_train_score,std_train_score,mean_test_score,std_test_score,rank_test_score,mean_train_rmse,mean_cv_rmse,std_cv_rmse
10,10,-0.46332697620788965,0.005471056855144862,-0.6366408923917068,0.0071172260786478755,1,0.46332697620788965,0.6366408923917068,0.0071172260786478755
10,5,-0.45376359381340386,0.005253314938229393,-0.6379561126437348,0.01315171857007467,2,0.45376359381340386,0.6379561126437348,0.01315171857007467
10,2,-0.4493807596469809,0.00531777456271219,-0.6424930192439711,0.008564927436684192,3,0.4493807596469809,0.6424930192439711,0.008564927436684192
7,2,-0.6010391477956128,0.00840777889747463,-0.652763603145004,0.012874598873469027,4,0.6010391477956128,0.652763603145004,0.012874598873469027
7,10,-0.6024552460522685,0.008217249554096508,-0.6534864777634284,0.013921331302520722,5,0.6024552460522685,0.6534864777634284,0.013921331302520722
7,5,-0.6012823302055266,0.00836292536991947,-0.6535329723349416,0.014236384345974728,6,0.6012823302055266,0.6535329723349416,0.014236384345974728
5,2,-0.6915758363542761,0.005029619367318033,-0.7126961705305451,0.014033424455037661,7,0.6915758363542761,0.7126961705305451,0.014033424455037661
5,5,-0.6915758363542761,0.005029619367318033,-0.7126961705305451,0.014033424455037661,7,0.6915758363542761,0.7126961705305451,0.014033424455037661
5,10,-0.6919222752816216,0.005276233203732753,-0.7127223794934177,0.013349538159825033,9,0.6919222752816216,0.7127223794934177,0.013349538159825033
3,5,-0.7848062567903046,0.0029879882309191324,-0.7956643878328757,0.012192550933436429,10,0.7848062567903046,0.7956643878328757,0.012192550933436429
3,10,-0.7848062567903046,0.0029879882309191324,-0.7956643878328757,0.012192550933436429,10,0.7848062567903046,0.7956643878328757,0.012192550933436429
3,2,-0.7848062567903046,0.0029879882309191324,-0.7956643878328757,0.012192550933436429,10,0.7848062567903046,0.7956643878328757,0.012192550933436429
